Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2011,69,Rihanna,We Found Love,We Found Love,"['pop', 'dance', 'Rihanna', 'female vocalists', 'electronic']",['pop'],pop
2011,70,Keri Hilson,Pretty Girl Rock,Pretty Girl Rock,"['pop', 'keri hilson', 'rnb', 'r&b', 'female vocalists']","['pop', 'rnb', 'r&b']",pop
2011,71,Lady Gaga,You And I,You And I,"['pop', 'rock', 'Lady Gaga', 'piano', 'female vocalists']","['pop', 'rock']",pop
2011,73,David Guetta,Without You,Without You,"['dance', 'David Guetta', 'pop', 'Usher', 'male vocalists']",['pop'],pop
2011,74,Taylor Swift,Back To December,Back To December,"['country', 'pop', 'female vocalists', 'taylor swift', 'country pop']","['country', 'pop']",country
2011,75,Katy Perry,Teenage Dream,Teenage Dream,"['pop', 'katy perry', 'female vocalists', 'dance', 'teenage dream']",['pop'],pop
2011,77,Rihanna,Cheers (Drink To That),Cheers (Drink To That),"['pop', 'Rihanna', 'rnb', 'female vocalists', 'avril lavigne']","['pop', 'rnb']",pop
2011,78,Selena Gomez,Who Says,Who Says,"['pop', 'female vocalists', '2011', 'Selena Gomez', 'Selena']",['pop'],pop
2011,79,Jake Owen,Barefoot Blue Jean Night,Barefoot Blue Jean Night,"['country', 'male country', 'summer songs', 'kickass american country', 'Jake owen']",['country'],country
2011,80,Zac Brown Band,Knee Deep,Knee Deep,"['country', 'happy', 'catchy', 'country music television']",['country'],country
2011,81,Luke Bryan,Country Girl (Shake It For Me),Country Girl (Shake It For Me),"['country', 'my favorite', 'new country', 'Luke Bryan', 'modern country']",['country'],country
2011,82,Brad Paisley With Carrie Underwood,Remind Me,Remind Me,"['2011', 'country', 'Ballad', '2010s', 'country music television']",['country'],country
2011,83,Dev,In The Dark,In The Dark,"['dance', 'pop', 'electronic', 'female vocalists', 'female']",['pop'],pop
2011,84,New Boyz,Backseat,Backseat,"['Hip-Hop', 'rnb', '2010s', 'desiderio', 'KDWB']","['Hip-Hop', 'rnb']",hip hop
2011,85,Drake,Headlines,Headlines,"['rap', 'Hip-Hop', '2011', 'Drake', 'hip hop']","['rap', 'Hip-Hop', 'hip hop']",rap
2011,86,Beyonce,Best Thing I Never Had,Best Thing I Never Had,"['beyonce', 'rnb', 'female vocalists', 'pop', 'Best Thing I Never Had']","['rnb', 'pop']",r&b
2011,88,David Guetta,Where Them Girls At,Where Them Girls At,"['House', 'party', 'Disco', 'Hip-Hop', 'electronic']",['Hip-Hop'],hip hop
2011,90,Rodney Atkins,Take A Back Road,Take A Back Road,"['country', 'fuckin great song', 'songs to drink to', 'dance', 'Driving']",['country'],country
2011,91,Mike Posner,Please Don’t Go,Please Dont Go,"['pop', 'rnb', 'Mike posner', 'Electro-Hop', '2010']","['pop', 'rnb']",pop
2011,92,Miguel,Sure Thing,Sure Thing,"['rnb', 'sexy', 'miguel', 'r&b', 'Love']","['rnb', 'r&b']",r&b
2011,93,Jessie J,Price Tag,Price Tag,"['pop', 'jessie j', 'female vocalists', 'female vocalist', 'Awesome']",['pop'],pop
2011,94,Blake Shelton,God Gave Me You,God Gave Me You,"['country', 'Blake Shelton', 'God Gave Me You', 'male vocalists', 'love at first listen']",['country'],country
2011,95,Lil Wayne,She Will,She Will,"['rap', 'Hip-Hop', 'media player library', 'hip hop', 'Driving']","['rap', 'Hip-Hop', 'hip hop']",rap
2011,96,Thompson Square,Are You Gonna Kiss Me Or Not,Are You Gonna Kiss Me Or Not,"['country', 'Are you Gonna Kiss Me or Not', 'Thompson Square', 'Love', 'my favorite']",['country'],country
2011,97,Neon Trees,Animal,Animal,"['alternative', 'alternative rock', 'indie', 'rock', 'catchy']","['indie', 'rock']",indie
2011,98,Kenny Chesney,You And Tequila,You And Tequila,"['country', 'cover', '2011', '2012', 'slow and pretty']",['country'],country
2011,100,Big Sean,My Last,My Last,"['Hip-Hop', 'Chris Brown', 'pop', '2011', 'whtd-FM']","['Hip-Hop', 'pop']",hip hop
2012,1,Gotye,Somebody That I Used To Know,Somebody That I Used To Know,"['indie', 'alternative', 'electronic', 'australian', 'love at first listen']",['indie'],indie
2012,2,Carly Rae Jepsen,Call Me Maybe,Call Me Maybe,"['pop', 'dance', 'female vocalists', 'Canadian', 'Carly Rae Jepsen']",['pop'],pop
